Date,Open,High,Low,Close,Adj Close,Volume,Day
5/3/2022,31.389999,31.65,30.059999,30.76,30.76,24562300,56
5/4/2022,22.27,22.459999,20.02,21.559999,21.559999,112518800,57
5/5/2022,21.6,22.82,21.209999,22.030001,22.030001,43122300,58
5/6/2022,21.705,21.719999,19.59,20.51,20.51,28942200,59
5/9/2022,19.85,20.639999,18.4,18.610001,18.610001,22056800,60
5/10/2022,18.945,19.629999,18.200001,19,19,21736800,61
5/11/2022,18.950001,19.370001,17.52,17.719999,17.719999,21542400,62
5/12/2022,17.264999,19.004999,17.24,18.59,18.59,16174800,63
5/13/2022,18.860001,20.18,18.860001,20,20,12841800,64
5/16/2022,19.85,20.030001,19.115,19.139999,19.139999,9447600,65
5/17/2022,19.51,20.177999,19.129999,19.719999,19.719999,10205900,66
5/18/2022,19.530001,19.690001,18.120001,18.15,18.15,13838300,67
5/19/2022,18.209999,19.57,18.17,19.290001,19.290001,11638000,68
5/20/2022,19.48,19.559999,18.025,19.07,19.07,12774500,69
5/23/2022,19.200001,20.24,18.68,20.209999,20.209999,11299800,70
5/24/2022,19.75,19.785,16.57,16.719999,16.719999,18054600,71
5/25/2022,16.77,17.145,16.33,16.65,16.65,16228500,72
5/26/2022,16.799999,17.799999,16.610001,17.68,17.68,14710200,73
5/27/2022,17.959999,18.24,17.68,17.77,17.77,11974700,74
5/31/2022,17.68,18.309999,17.358,17.68,17.68,11197900,75
6/1/2022,17.629999,17.98,16.975,17.059999,17.059999,10384700,76
6/2/2022,17.01,18.465,17,18.370001,18.370001,9383000,77
6/3/2022,17.969999,18.1,17.309999,17.4,17.4,8264000,78
6/6/2022,17.778,17.91,16.77,17.16,17.16,10924300,79
6/7/2022,16.9,17.43,16.77,17.209999,17.209999,7785100,80
6/8/2022,17.25,17.799,17.209999,17.629999,17.629999,13225300,81
6/9/2022,17.389999,17.870001,16.91,16.940001,16.940001,9674800,82
6/10/2022,16.58,16.959999,15.75,15.77,15.77,10767000,83
6/13/2022,15.08,15.235,14.18,14.29,14.29,13251900,84
6/14/2022,14.535,14.64,13.92,14.16,14.16,9608500,85
6/15/2022,14.33,15.43,14.32,15.16,15.16,14019200,86
6/16/2022,14.65,14.9,13.73,13.88,13.88,9558900,87
6/17/2022,14.005,14.94,13.955,14.89,14.89,13349500,88
6/21/2022,15.24,15.5,14.635,14.67,14.67,10831800,89
6/22/2022,14.425,15.34,14.38,14.83,14.83,7721000,90
6/23/2022,14.85,15.95,14.57,15.88,15.88,10774900,91
6/24/2022,15.81,16.540001,15.74,16.34,16.34,12218500,92
6/27/2022,16.49,16.73,15.78,15.89,15.89,8555800,93
6/28/2022,15.95,16.16,14.6,14.61,14.61,15581600,94
6/29/2022,14.58,14.58,13.85,14.03,14.03,12088000,95
6/30/2022,13.78,13.86,13.06,13.28,13.28,11812400,96
7/1/2022,13.38,13.7,13.13,13.48,13.48,9734300,97
7/5/2022,13.13,14.03,12.79,14,14,13045800,98
7/6/2022,13.78,13.93,13.14,13.22,13.22,16466900,99
7/7/2022,13.29,13.81,13.17,13.76,13.76,19296800,100
7/8/2022,13.67,13.82,13.05,13.4,13.4,16036200,101
7/11/2022,13.18,13.39,12.34,12.36,12.36,17393400,102
7/12/2022,12.35,12.775,12.35,12.61,12.61,12376500,103
7/13/2022,12.24,12.6,11.96,12.51,12.51,10535300,104
7/14/2022,12.3,12.48,12.02,12.09,12.09,11913200,105
7/15/2022,12.31,13.03,12.14,12.94,12.94,13497100,106
7/18/2022,13.21,13.99,13.17,13.41,13.41,15973000,107
7/19/2022,13.52,13.83,13.295,13.66,13.66,9009300,108
7/20/2022,13.79,14.805,13.79,14.7,14.7,14194700,109
7/21/2022,14.39,14.529,13.99,14.17,14.17,10305100,110
7/22/2022,14.32,14.47,13.46,13.54,13.54,8055100,111
7/25/2022,13.52,13.53,13.02,13.31,13.31,7564000,112
7/26/2022,13.07,13.11,12.47,12.53,12.53,10823900,113
7/27/2022,12.83,13.378,12.515,13.31,13.31,10838900,114
7/28/2022,13.33,13.89,13.05,13.88,13.88,11858900,115
7/29/2022,13.7,13.89,13.185,13.86,13.86,11762900,116
8/1/2022,13.64,14.136,13.17,13.9,13.9,12540900,117
8/2/2022,15.25,16.215,15.15,16.16,16.16,29803800,118
8/3/2022,16.35,16.924999,16.235001,16.709999,16.709999,23366300,119
8/4/2022,16.74,17.455,16.74,17.389999,17.389999,27582400,120
8/5/2022,18.209999,20.35,17.92,20.280001,20.280001,47487000,121
8/8/2022,20.059999,21.52,19.783001,19.83,19.83,23531700,122
8/9/2022,19.379999,19.629999,18.655001,18.67,18.67,14189900,123
8/10/2022,19.700001,20.129999,19.15,19.4,19.4,15119400,124
8/11/2022,19.809999,20.549999,18.879999,18.9,18.9,12045300,125
8/12/2022,19.174999,19.43,18.58,19.4,19.4,11344600,126
8/15/2022,19.110001,19.85,18.860001,19.290001,19.290001,7992300,127
8/16/2022,19.120001,19.725,18.68,19.34,19.34,9512600,128
8/17/2022,18.799999,18.93,17.799999,17.969999,17.969999,14805400,129
8/18/2022,17.98,18.02,17.58,17.6,17.6,6607800,130
8/19/2022,17.27,17.370001,16.565001,16.65,16.65,10492100,131
8/22/2022,16.26,16.43,15.175,15.52,15.52,17169900,132
8/23/2022,15.65,15.8,15.32,15.35,15.35,8054900,133
8/24/2022,15.23,15.92,15.16,15.39,15.39,9291000,134
8/25/2022,15.55,15.92,15.355,15.84,15.84,7546700,135
8/26/2022,15.78,16,14.88,14.97,14.97,10281400,136
8/29/2022,14.78,15.26,14.71,14.73,14.73,7966300,137
8/30/2022,15.02,15.13,14.47,14.72,14.72,9975200,138
8/31/2022,15,15.338,14.66,14.73,14.73,10569600,139
9/1/2022,14.45,14.68,13.71,14.67,14.67,11527300,140
9/2/2022,14.91,15.03,14.34,14.6,14.6,7850100,141
9/6/2022,14.68,14.69,13.77,13.97,13.97,9940300,142
9/7/2022,13.9,14.76,13.88,14.69,14.69,8675500,143
9/8/2022,14.51,17.209999,14.26,17.17,17.17,42151500,144
9/9/2022,17.1,18.360001,17.07,18.110001,18.110001,26673700,145
9/12/2022,18.18,18.575001,17.860001,18.190001,18.190001,15246200,146
9/13/2022,17.379999,17.77,16.790001,16.879999,16.879999,13112900,147
9/14/2022,16.809999,17.129999,16.315001,17.110001,17.110001,11469900,148
9/15/2022,17,18.084999,16.865,16.99,16.99,11553900,149
9/16/2022,16.27,16.57,16.02,16.27,16.27,13725200,150
9/19/2022,16.129999,16.389999,15.92,16.24,16.24,13940600,151
9/20/2022,16.030001,17.440001,16.02,16.870001,16.870001,17465600,152
9/21/2022,16.84,16.875,15.795,15.94,15.94,14774700,153
9/22/2022,15.75,15.91,14.66,14.69,14.69,18091100,154
9/23/2022,14.25,14.4,13.7,13.99,13.99,15249200,155
9/26/2022,13.5,13.99,13.41,13.52,13.52,17830600,156
9/27/2022,13.89,14.345,13.744,14.16,14.16,11694200,157
9/28/2022,14.03,14.62,13.795,14.5,14.5,14729800,158
9/29/2022,14.14,14.26,13.05,13.48,13.48,16690400,159
9/30/2022,13.41,13.81,13.13,13.17,13.17,9049200,160
10/3/2022,13.19,13.22,12.47,12.95,12.95,14537900,161
10/4/2022,13.41,13.89,13.41,13.8,13.8,15195600,162
10/5/2022,13.31,13.92,13.215,13.75,13.75,9669100,163
10/6/2022,13.76,14.23,13.43,13.7,13.7,9195100,164
10/7/2022,13.02,13.1,12.325,12.51,12.51,16712700,165
10/10/2022,12.81,13.01,12.36,12.81,12.81,11877900,166
10/11/2022,12.19,12.3,10.825,11.27,11.27,39753100,167
10/12/2022,11.62,12.15,11.5,11.9,11.9,19996100,168
10/13/2022,11.35,12.235,11.21,11.99,11.99,13878400,169
10/14/2022,12.21,12.4,11.735,11.77,11.77,9546000,170
10/17/2022,12.15,12.695,12.09,12.66,12.66,14033000,171
10/18/2022,13.3,13.54,13,13.29,13.29,12383700,172
10/19/2022,13.03,13.55,12.92,13.02,13.02,14397100,173
10/20/2022,12.91,13.935,12.91,13.31,13.31,11105100,174
10/21/2022,13.12,13.64,12.905,13.56,13.56,10990800,175
